,name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,lastCommit,lastCommitSHA,hasWiki,isArchived,package.json,package-lock.json
1,twbs/bootstrap,False,21648,74,main,76,367.0,MIT License,6934,156660,76571,197524,2011-07-29T09:19:00,2022-04-24T06:54:01,2022-04-24T10:17:07,https://getbootstrap.com,JavaScript,21178.0,221.0,13483,112,2022-04-22T02:56:05,9a614a7e1dd21d6a4b2f6e36c0ad390fd4767528,False,False,True,True
2,trekhleb/javascript-algorithms,False,1062,1,master,0,186.0,MIT License,4306,152214,25384,9373,2018-03-24T07:47:04,2022-10-01T08:37:53,2022-10-04T06:17:16,,JavaScript,296.0,103.0,613,170,2022-09-21T07:12:46,d3c0ee6f7af3fce4a3a2bdc1c5be36d7c2d9793a,False,False,True,True
5,facebook/create-react-app,False,2800,14,main,83,461.0,MIT License,1932,96992,25235,23405,2016-07-17T02:55:11,2022-09-14T11:43:17,2022-09-17T07:05:51,https://create-react-app.dev,JavaScript,7844.0,1417.0,4050,366,2022-09-08T07:40:47,d960b9e38c062584ff6cfb1a70e1512509a966e7,False,False,True,True
6,axios/axios,False,1277,4,v1.x,39,357.0,MIT License,1216,95880,9781,4906,2014-08-18T10:30:27,2022-09-20T04:16:49,2022-09-24T01:56:46,https://axios-http.com,JavaScript,3783.0,167.0,1124,32,2022-09-15T05:36:31,892c241773e7dda78a969ac1faa9b365e24f6cc8,False,False,True,True
7,mrdoob/three.js,False,40199,11,dev,133,360.0,MIT License,2552,82692,32010,1160493,2010-03-23T06:58:01,2022-06-12T06:04:31,2022-06-12T08:25:34,https://threejs.org/,JavaScript,11174.0,349.0,12897,151,2022-06-09T10:16:13,f30599ed21818efbbffee6e923957616fd410016,True,False,True,True
10,typicode/json-server,False,850,5,master,10,65.0,MIT License,1022,63449,6253,3056,2013-11-27T01:21:13,2022-09-18T06:13:37,2022-09-23T06:56:08,,JavaScript,1016.0,560.0,327,84,2022-05-03T03:31:14,57af3860d95752700894f26e2c3b7a53697694fd,False,False,True,True
12,hakimel/reveal.js,False,2924,4,master,38,286.0,MIT License,1704,62188,16391,19687,2011-06-07T06:54:22,2022-10-06T08:13:42,2022-10-13T01:16:39,https://revealjs.com,JavaScript,2172.0,622.0,986,90,2022-09-24T09:39:12,468132320d6e072abd1297d7cc24766a2b7a832d,True,False,True,True
15,tailwindlabs/tailwindcss,False,4731,50,master,199,212.0,MIT License,572,58761,2951,64100,2017-10-06T02:59:14,2022-07-13T05:07:17,2022-07-13T05:42:24,https://tailwindcss.com/,JavaScript,2410.0,10.0,1838,11,2022-07-11T08:11:34,2b0b219d613b376c05e11db721ff8783d6b0a089,False,False,True,True
16,atom/atom,False,38514,122,master,538,329.0,MIT License,2630,58558,17924,329937,2012-01-20T06:18:21,2022-09-29T03:45:47,2022-10-04T08:50:32,https://atom.io,JavaScript,17071.0,927.0,5249,12,2022-09-27T07:07:12,2338a2897d430ff120b7c6db34dfbaa50b516418,False,False,True,True
18,microsoft/web-dev-for-beginners,False,1350,2,main,0,144.0,MIT License,2511,57323,8662,65185,2020-11-10T02:44:00,2022-09-14T07:43:55,2022-09-17T10:54:46,https://microsoft.github.io/Web-Dev-For-Beginners/,JavaScript,0.0,0.0,443,7,2022-09-02T01:11:01,62426563b81bc4c28752150ae33aa047dec3bc33,True,False,True,True
20,h5bp/html5-boilerplate,False,2413,7,main,32,243.0,MIT License,2610,53401,12093,21701,2010-01-24T06:03:24,2022-09-28T08:54:27,2022-10-01T03:14:16,https://html5boilerplate.com/,JavaScript,1281.0,7.0,1509,3,2022-09-02T01:49:07,93bd017b8f86ebb2cdf6cb60f9055a9aed73c6a7,True,False,True,True
25,moment/moment,False,3980,37,develop,0,407.0,MIT License,872,46966,7106,20992,2011-03-01T02:46:06,2022-10-06T09:53:41,2022-10-13T02:02:12,momentjs.com,JavaScript,4000.0,179.0,2013,51,2022-07-06T04:00:01,000ac1800e620f770f4eb31b5ae908f6167b0ab2,False,False,True,True
26,anuraghazra/github-readme-stats,False,541,2,master,0,204.0,MIT License,229,44615,10759,1150,2020-07-09T10:34:22,2022-08-13T06:24:44,2022-08-16T07:08:10,https://github-readme-stats.vercel.app,JavaScript,752.0,91.0,1040,200,2022-08-13T06:24:44,4b6f4650b21a892b8ee1f57593b38efffed74155,False,False,True,True
31,colorlibhq/adminlte,False,2558,27,master,72,115.0,MIT License,2024,41550,17804,130363,2013-12-25T02:52:40,2022-09-27T03:14:57,2022-09-30T02:24:08,https://adminlte.io,JavaScript,2709.0,57.0,1831,28,2022-07-12T10:21:24,9510278efd24f8fdf76a214c1ef4edfd50e5a80d,False,False,True,True
34,iamkun/dayjs,False,1433,6,dev,111,294.0,MIT License,284,40500,2039,5765,2018-04-10T09:26:44,2022-09-29T03:50:30,2022-10-04T11:58:28,https://day.js.org,JavaScript,1186.0,460.0,886,106,2022-08-30T03:17:40,c9370ea96bf420439ee7eaa4146e8ed643160312,True,False,True,True
37,algorithm-visualizer/algorithm-visualizer,False,667,20,master,0,24.0,MIT License,1226,38820,6307,21241,2016-05-15T12:27:45,2022-08-21T03:04:51,2022-08-25T11:36:11,https://algorithm-visualizer.org/,JavaScript,91.0,19.0,242,20,2022-04-13T02:03:13,bf676c9faa5c8bf5650e0c33340b5224c4b9ae8b,True,False,True,True
38,dogfalo/materialize,False,3878,24,v1-dev,41,247.0,MIT License,1011,38733,4855,163831,2014-09-12T07:35:38,2022-10-01T04:49:33,2022-10-13T03:45:08,https://materializecss.com,JavaScript,5208.0,622.0,1438,178,2020-06-01T04:39:49,824e78248b3de81e383445e76ffb04cc3264fe7d,True,False,True,True
40,impress/impress.js,False,405,6,master,15,76.0,MIT License,1252,36956,6827,4670,2011-12-28T10:23:19,2022-09-27T09:53:00,2022-09-29T01:09:47,http://impress.js.org,JavaScript,458.0,50.0,352,10,2022-08-19T08:57:48,f8dd0e92b4b0d553a7926abd9851d2c355257f5a,True,False,True,True
45,sahat/hackathon-starter,False,2566,1,master,14,179.0,MIT License,799,33850,7997,13555,2013-11-13T05:24:12,2022-10-12T08:06:23,2022-10-21T11:57:30,https://hackathon-starter.walcony.com,JavaScript,615.0,8.0,576,11,2022-03-26T09:06:25,2362938d74273e4b75626e32d20a0f7e765edc2f,False,False,True,True
47,lerna/lerna,False,2395,13,main,188,280.0,MIT License,258,33612,2239,17179,2015-12-04T09:36:55,2022-09-20T08:31:59,2022-09-23T08:01:21,https://lerna.js.org,JavaScript,2291.0,378.0,1020,52,2022-09-20T08:31:56,1c39987df8f90a2432a85bc89dabab6f92b511b5,False,False,True,True
